name,excellent,very_good,average,poor,terrible
H'Otello K'80,203,135,27,4,2
Goodman's Living,235,112,35,6,8
Sofitel Berlin Gendarmenmarkt,948,482,153,35,14
Soho House Berlin,452,135,48,19,32
Hecker's Hotel Berlin,217,181,42,9,2
Pension Peters,177,140,23,10,4
Grimm’s Hotel,157,154,25,2,4
Stars Guesthouse Berlin,148,60,8,8,2
fjord hotel berlin,271,279,57,17,9
Motel One Berlin-Upper West,183,153,36,9,9
Henri Hotel,160,192,34,16,7
Heart of Gold Hostel,387,340,116,37,29
Hotel 38,153,215,42,8,10
Savoy Hotel Berlin,656,575,195,60,24
Hotel Sarotti-Hoefe,96,96,29,3,3
Old Town Apartments - Metzer Strasse,103,28,5,0,1
Hotel Pension Columbus,87,51,9,1,0
Hotel Berlin Ostbahnhof,243,357,126,23,14
Best Western Hotel City Ost,325,620,195,42,17
Augustinenhof Hotel,93,110,46,10,4
Wallyard Concept Hostel,137,51,25,8,9
numa l Kater Apartments,4,0,0,0,0
numa l Belfort Rooms & Apartments,7,1,0,0,0
PREMIUM Hostel,1,2,3,1,11
numa l Kater Apartments,4,0,0,0,0
Hotel Q!,1064,381,88,17,16
i31 Hotel,1915,623,76,20,13
ADELANTE Boutique Hotel,299,112,11,1,4
ApartHotel Residenz Am Deutschen Theater,257,97,12,0,2
H'Otello K'80,203,135,27,4,2
Sofitel Berlin Gendarmenmarkt,948,482,153,35,14
Hotel Hansablick Garni,112,95,14,2,0
Soho House Berlin,452,135,48,19,32
Hecker's Hotel Berlin,217,181,42,9,2
Motel One Berlin-Hackescher Markt,395,414,74,8,5
Pestana Berlin Tiergarten,852,578,125,40,29
Hotel Gat Point Charlie,1002,1048,195,54,23
SANA Berlin Hotel,799,641,197,57,30
Hotel 38,153,215,42,8,10
Savoy Hotel Berlin,656,575,195,60,24
Hotel Indigo Berlin - Centre Alexanderplatz an IHG hotel,1027,814,201,43,18
Hotel Tiergarten,132,162,41,9,5
Motel One Berlin Mitte,168,236,51,15,11
Holiday Inn Berlin - Centre Alexanderplatz an IHG hotel,675,774,212,51,23
Motel One Berlin-Bellevue,134,185,42,9,5
Hotel Mondial,110,135,26,5,6
Hotel Sarotti-Hoefe,96,96,29,3,3
Hotel Sylter Hof Berlin,349,560,138,34,18
Relexa Hotel Stuttgarter Hof,205,288,79,13,13
Hotel Pension Columbus,87,51,9,1,0
Steigenberger Hotel Berlin,2668,2507,789,240,102
Hotel Berlin Ostbahnhof,243,357,126,23,14
Hotel Sachsenhof,80,135,44,3,4
Best Western Hotel City Ost,325,620,195,42,17
numa l Kater Apartments,4,0,0,0,0
Augustinenhof Hotel,93,110,46,10,4
Hotel Angleterre,514,838,297,67,43
Hotel Transit Loft,77,167,61,20,12
Ibis Styles Berlin Alexanderplatz,339,687,302,61,34
Classik Hotel Hackescher Markt,84,86,42,15,8
Pension Funk,67,51,11,3,8
Centro Hotel Berlin City West,84,189,61,13,19
Amc Hotel - Schoneberg,49,49,11,0,1
Hotel Aquino Berlin,36,58,13,3,1
Boutique Hotel Kerlin,41,28,1,0,0
Zarenhof Berlin Mitte,47,82,45,7,3
Quentin Berlin Hotel,99,186,117,40,35
Berlin Plaza Hotel,97,244,127,31,18
Hotel Transit,44,93,46,9,2
Park Hotel Moabit,35,68,31,6,0
Exe Hotel Klee Berlin,62,87,29,13,11
Rewari Hotel Berlin,34,88,43,10,7
Nu Wave Hotel Berlin,36,70,10,1,5
Hotel Gunia,60,32,4,3,4
Kima Hotel,65,113,73,10,12
Businesshotel Berlin,29,47,14,4,1
Alex Hotel,40,89,17,7,6
HighPark by Palmira,26,11,1,1,2
Hotel Les Nations,38,50,20,0,5
GOLD INN Alfa Hotel,43,77,43,9,5
Aparthotel Vega,41,71,24,10,6
Hotel Graf Pueckler,15,52,21,7,0
Hotel Alt Tempelhof,23,58,31,6,3
Hotel Schoeneberg,16,51,10,3,2
Hotel Villa Konstanz,26,37,15,5,2
numa l Kater Apartments,4,0,0,0,0
Propeller Island City Lodge,46,40,16,9,10
TopDomizil Apartments Panorama Friedrichstrasse,21,19,10,2,1
Hotel Villa Konstanz,26,37,15,5,2
Pension Bella,18,35,14,4,0
Gold Hotel,18,29,9,3,1
Hotel Comenius,32,60,22,8,5
Hotel de France,20,45,20,3,4
Juncker's Hotel Garni,34,56,20,4,5
Hotel Delta,47,130,122,39,22
Metropolitan Hotel Berlin,60,201,116,44,35
Rheinsberg am SeeHotel,23,42,9,1,6
Hotel NOVA,31,80,46,12,7
Smart Stay Hotel Berlin City,47,61,43,13,12
Hotel-Pension Victoria,17,47,27,2,4
Hotel Sedes,13,17,9,0,0
Hotel Mitte Berlin,21,39,23,4,3
Ocak Apartment & Hotel,19,23,14,3,5
Quentin Design hotel,102,219,122,69,76
Hotel Pension Fasanenhaus,26,45,12,6,4
Garni-Hotel An der Weide,13,15,2,1,0
City Gallery Berlin Hotel,23,38,17,4,5
Hotel Residenz Begaswinkel,14,49,19,8,7
Berolina Hotel An Der Gedaechtniskirche,21,70,50,15,6
Atrium Charlottenburg Hotel,39,101,69,34,16
art'appart - berlin suiten,22,16,3,4,3
Hotel Riehmers Hofgarten,20,30,17,6,2
City Pension Berlin,29,34,17,5,8
Mikon Eastgate Hotel,42,107,82,31,25
Classic Apartment,18,14,8,2,0
Hotel Siegfriedshof,7,16,4,1,0
numa l Kater Apartments,4,0,0,0,0
Hotel Lohwasser Berlin,14,7,0,0,0
Die Zwolf Apostel,13,7,2,1,1
Hotel Greifswald,21,22,6,2,0
Winterfeldt Berlin Apartments,12,7,8,0,0
Pension Schultze,5,10,1,1,0
